chat_id,turn,n_human_raters,soft_jaccard_llm,soft_jaccard_human_baseline
alexia,1,4,0.3076923076923077,0.21313131313131314
alexia,2,4,0.36363636363636365,0.4392482517482518
alexia,3,4,0.5454545454545454,0.4976780185758514
alexia,4,4,0.4666666666666667,0.449023199023199
alexia,5,4,0.5333333333333333,0.5504807692307693
alexia,6,4,0.5,0.5025252525252526
alexia,7,4,0.5,0.3333333333333333
ani,1,4,0.6923076923076923,0.4972222222222222
ani,2,4,0.47368421052631576,0.3917112299465241
ani,3,4,0.0,0.30158730158730157
ani,4,4,0.5555555555555556,0.5142857142857143
ani,5,4,0.3333333333333333,0.496031746031746
ani,6,4,0.5555555555555556,0.5142857142857143
ani,7,4,0.4166666666666667,0.22222222222222224
ani,8,4,0.0,0.08571428571428572
claire,1,4,0.2,0.0
claire,2,4,0.14285714285714285,0.08571428571428572
claire,3,4,0.42857142857142855,0.49999999999999994
claire,4,4,0.5714285714285714,0.41875
claire,5,4,0.4444444444444444,0.6875
claire,6,4,0.21428571428571427,0.25555555555555554
claire,7,4,0.14285714285714285,0.18888888888888888
layla,1,4,0.4444444444444444,0.27142857142857146
layla,2,4,0.5,0.41547619047619044
layla,3,4,0.0,0.6875
layla,4,4,0.4444444444444444,0.27142857142857146
layla,5,4,0.6666666666666666,0.503968253968254
layla,6,4,0.5,0.4097222222222222
layla,7,4,0.3333333333333333,0.20606060606060606
layla,8,4,0.7777777777777778,0.619047619047619
thomas,1,4,0.6842105263157895,0.4993055555555555
thomas,2,4,0.5714285714285714,0.500297619047619
thomas,3,4,0.5384615384615384,0.6199321833996757
thomas,4,4,0.5,0.4521598112929382
thomas,5,4,0.6666666666666666,0.4953861927546137
thomas,6,4,0.56,0.4951963241436925
